 c_last_name | c_first_name |     ca_city     |   bought_city   | ss_ticket_number |   extended_price   |    extended_tax    |     list_price     
             |              | Post Oak        | Pleasant Valley |           523677 |           23890.55 |  959.8700000000001 |           45806.59
             |              | Forest Hills    | Plainview       |           580214 |           22549.09 |             426.65 |           36845.89
             |              | Clifton         | Centerville     |           585593 |            23008.5 |             967.87 | 43291.399999999994
             |              | Jackson         | Brownsville     |           621618 |           21406.32 |             623.82 | 33974.829999999994
             | Frank        | Point Pleasant  | Elm Grove       |           635765 | 29230.739999999998 |            1633.77 |           40494.38
             | Jack         | Newtown         | Waterloo        |           645140 |           16088.38 |  703.2900000000001 |           61799.68
             | Louis        | Florence        | Riverview       |           676861 | 24608.660000000003 |             406.09 |              37097
             | Wanda        | Hamilton        | Newport         |           677141 |           21866.57 |             972.91 | 55945.590000000004
             |              | Highland Park   | Lakeview        |           678209 | 13832.370000000003 |             736.43 | 37656.719999999994
             | Timothy      | Enterprise      | Lakeview        |           720175 | 16914.329999999998 |  854.3100000000001 |           32883.74
             |              | Centerville     | Oakwood         |           724229 | 14943.900000000001 |             448.63 |           36541.62
             | Erica        | Riverdale       | Forest Hills    |           731563 | 30698.510000000002 | 1555.7299999999998 |  43981.16999999999
             |              | Woodlawn        | Belmont         |           755630 |           22603.33 |             490.72 |           58226.61
             | Patrick      | Oakdale         | Harmon          |           756099 | 10439.119999999999 |             628.16 |           20831.78
             | Jean         | Sawyer          | Union           |           759237 | 21745.489999999998 |             452.73 |           42008.81
             | Mellissa     | Ashland         | Lakewood        |           763423 |           19061.94 |  872.3299999999999 |  56539.81999999999
             |              | Price           | Union           |           849626 | 15448.069999999998 |  761.7500000000001 |           50115.99
             |              | Sulphur Springs | Union           |           868290 |              11158 | 412.79999999999995 | 19471.140000000003
             |              | Glenwood        | Kimball         |           869608 |           23404.24 | 1415.8999999999999 | 47148.310000000005
             |              | Greenfield      | Oak Grove       |           894965 |           23175.12 |             989.01 | 49468.100000000006
             |              | Waterloo        | Wildwood        |           902777 | 16231.640000000001 |             976.78 |            46196.6
             |              | Marion          | Fairview        |           916278 |            38136.5 | 2074.2400000000002 |  52967.96999999999
             | Wallace      | Riverside       | Clinton         |           920030 |           22228.44 |  988.8299999999999 |           53514.55
             | Linda        | Five Points     | Lincoln         |           927351 |           23387.07 |             818.33 |           41069.72
             |              | Bridgeport      | Concord         |           946382 |           29167.57 |             593.54 |           66122.38
             | Joan         | Glendale        | Lebanon         |           947121 | 23670.160000000003 |  897.9300000000001 |  49901.14000000001
             | Catherine    | Burns           | Woodland        |           950184 |           26312.44 |            1142.22 |           45753.54
             |              | Red Hill        | Howell          |           972973 | 15782.599999999999 |             574.58 | 35692.399999999994
             | Christina    | Sulphur Springs | Five Forks      |           977818 | 25517.449999999997 |             423.82 |           49595.54
             |              | Union           | Clifton         |           983899 |           18202.18 |  987.1300000000001 |           24487.31
             |              | Glendale        | Wildwood        |          1000559 | 23347.760000000002 |            1217.53 |           44274.08
             | Kenny        | Red Hill        | Five Forks      |          1046035 |           13246.13 | 464.53000000000003 |           23761.09
             |              | Lakeside        | Wildwood        |          1091315 |  8840.410000000002 |  627.5999999999999 |           26095.85
             |              | Woodlawn        | Greendale       |          1105119 | 22952.019999999997 |  790.9000000000001 |           46390.12
             |              | Mount Pleasant  | Woodlawn        |          1155820 |           20393.87 |             451.27 |           40395.15
             |              | Unionville      | Glendale        |          1163786 | 11382.869999999999 |             175.75 |           19182.71
             | Mark         | Oak Hill        | Oak Ridge       |          1182877 | 24148.870000000003 | 1490.8600000000001 | 33328.490000000005
             |              | Spring Hill     | Lakeview        |          1247183 |            11828.8 |             644.21 |           37660.13
             | Kristen      | Shiloh          | Red Hill        |          1259680 |           13394.38 |  783.3899999999999 |           40795.55
             | Mildred      | Greenwood       | Brownsville     |          1266199 |           24347.39 |  865.2400000000001 |           48102.07
             |              | Clearwater      | Newport         |          1294548 |           26235.96 |            1524.64 | 42417.479999999996
             |              | Bethel          | Sunnyside       |          1298026 |           15722.23 | 499.28999999999996 |           24812.05
             |              | Marion          | Brentwood       |          1404356 | 22862.329999999998 |            1021.02 |  44070.45999999999
             |              | Woodville       | White Oak       |          1413174 |           15234.69 |             691.45 |           40237.91
             |              | Springfield     | Roscoe          |          1422742 |           25738.74 |            1333.76 |           50910.95
             | Jerome       | White Oak       | Marion          |          1466057 |             6120.9 | 170.26999999999998 | 17893.600000000002
             | Tammy        | Stringtown      | Oak Grove       |          1491356 |           16496.65 |  680.4499999999999 | 28145.700000000004
             |              | Smith           | Watkins         |          1522418 | 15153.039999999999 | 501.73999999999995 | 41949.909999999996
             | Joseph       | Pleasant Hill   | Newtown         |          1553501 |           38763.92 |            1346.61 |           72389.37
             | Russell      | Five Points     | Fairfield       |          1590745 |  7001.889999999999 | 400.53000000000003 | 14133.149999999998
             | Patrick      | Martinsville    | Franklin        |          1645332 |            9631.37 |             502.04 | 38943.670000000006
             |              | Jamestown       | Midway          |          1648568 | 14790.630000000001 |             586.78 | 27146.379999999997
             | William      | Unionville      | Greenwood       |          1653995 |           14740.46 | 496.84999999999997 | 23190.190000000002
             | Rosemarie    | Frogtown        | Fairview        |          1693999 | 19528.379999999997 |  707.9899999999999 |           36837.28
             | Mabel        | Waterloo        | Centerville     |          1762398 | 27745.129999999997 | 1012.1899999999999 | 47621.270000000004
             | Tera         | Forest Hills    | Pleasant Valley |          1801123 |  37994.14000000001 | 2013.7299999999996 |  75780.12999999999
             |              | Green Acres     | Liberty         |          1812665 |  8494.990000000002 |             387.44 |           21302.04
             |              | Lakewood        | Payne           |          1823916 |  37877.60999999999 |  949.4000000000001 |            56940.1
             | Stephanie    | Oak Hill        | Five Forks      |          1838084 | 28398.980000000003 |              977.5 |           74687.61
             | Phillip      | Springdale      | Oneida          |          1890574 | 36438.899999999994 |            1872.48 |  67080.65000000001
             |              | Newtown         | Lakeside        |          1892643 | 3860.8199999999997 |             213.99 | 15599.779999999999
             |              | Bunker Hill     | Kingston        |          1901056 |           26490.23 | 428.91999999999996 | 48586.810000000005
             | Stephanie    | Millbrook       | Hillcrest       |          1903052 | 25430.449999999997 |            1511.15 |           41452.16
             |              | Bath            | Kingston        |          1962329 |           12707.61 |             639.42 |           25559.03
             |              | Brownsville     | Shady Grove     |          1979039 |           18670.32 |             920.62 |           40961.37
             | James        | Florence        | Oak Hill        |          1988789 | 17934.670000000002 |  951.4300000000001 | 41964.100000000006
             | Francis      | Hopewell        | Five Forks      |          1991276 |           26801.32 |            1218.68 | 52493.479999999996
             | Andre        | Georgetown      | Newport         |          2010779 | 13118.460000000001 |             844.66 |           32368.77
             |              | Mount Pleasant  | Norton          |          2026730 |           35123.27 | 1407.6599999999999 |           72218.04
             |              | Oak Ridge       | Centerville     |          2030421 |           14583.65 |             732.11 |           19886.09
             | John         | Guilford        | Lake Forest     |          2037011 |           28581.37 | 1012.7399999999999 |           55809.74
             |              | Glendale        | Lebanon         |          2056798 |            16444.7 | 1117.6299999999999 | 50952.229999999996
             | Julius       | Fairfield       | Hopewell        |          2059426 |            5762.91 | 234.85999999999999 |            19417.6
             |              | Wayland         | Marion          |          2065553 |           34666.63 | 1225.3600000000001 |           62104.57
             | Melissa      | Buena Vista     | Mount Pleasant  |          2085841 |            29635.1 |             830.24 | 59763.479999999996
(100 rows)

