 c_last_name | c_first_name |     ca_city     |   bought_city   | ss_ticket_number |   extended_price   |    extended_tax    |     list_price     
             |              | Woodlawn        | Greendale       |          1105119 | 22952.019999999997 |              790.9 | 46390.119999999995
             |              | Mount Pleasant  | Woodlawn        |          1155820 |           20393.87 |             451.27 | 40395.149999999994
             |              | Unionville      | Glendale        |          1163786 |           11382.87 | 175.75000000000003 |           19182.71
             | Mark         | Oak Hill        | Oak Ridge       |          1182877 | 24148.870000000003 |            1490.86 |           33328.49
             |              | Spring Hill     | Lakeview        |          1247183 | 11828.800000000001 |             644.21 |           37660.13
             | Kristen      | Shiloh          | Red Hill        |          1259680 |           13394.38 |             783.39 |           40795.55
             | Mildred      | Greenwood       | Brownsville     |          1266199 |           24347.39 |  865.2400000000001 |  48102.06999999999
             |              | Clearwater      | Newport         |          1294548 | 26235.960000000003 | 1524.6399999999999 | 42417.479999999996
             |              | Bethel          | Sunnyside       |          1298026 |           15722.23 |             499.29 |           24812.05
             |              | Marion          | Brentwood       |          1404356 | 22862.329999999998 |            1021.02 |  44070.45999999999
             |              | Woodville       | White Oak       |          1413174 |           15234.69 |             691.45 |           40237.91
             |              | Springfield     | Roscoe          |          1422742 |           25738.74 | 1333.7599999999998 |           50910.95
             | Jerome       | White Oak       | Marion          |          1466057 |             6120.9 |             170.27 |            17893.6
             | Tammy        | Stringtown      | Oak Grove       |          1491356 |           16496.65 |             680.45 |            28145.7
             |              | Smith           | Watkins         |          1522418 | 15153.039999999999 |             501.74 |  41949.90999999999
             | Joseph       | Pleasant Hill   | Newtown         |          1553501 |           38763.92 | 1346.6100000000001 |  72389.37000000001
             | Russell      | Five Points     | Fairfield       |          1590745 |  7001.889999999999 | 400.53000000000003 |           14133.15
             | Patrick      | Martinsville    | Franklin        |          1645332 |            9631.37 |             502.04 | 38943.670000000006
             |              | Jamestown       | Midway          |          1648568 | 14790.630000000001 |             586.78 | 27146.379999999997
             | William      | Unionville      | Greenwood       |          1653995 | 14740.460000000001 | 496.84999999999997 | 23190.190000000002
             | Rosemarie    | Frogtown        | Fairview        |          1693999 |           19528.38 |  707.9900000000001 |  36837.27999999999
             | Mabel        | Waterloo        | Centerville     |          1762398 |           27745.13 |            1012.19 | 47621.270000000004
             | Tera         | Forest Hills    | Pleasant Valley |          1801123 |           37994.14 |            2013.73 |           75780.13
             |              | Green Acres     | Liberty         |          1812665 |            8494.99 |             387.44 |           21302.04
             |              | Lakewood        | Payne           |          1823916 |           37877.61 |              949.4 | 56940.099999999984
             | Stephanie    | Oak Hill        | Five Forks      |          1838084 |           28398.98 |              977.5 |           74687.61
             | Phillip      | Springdale      | Oneida          |          1890574 | 36438.899999999994 | 1872.4799999999998 |  67080.65000000001
             |              | Newtown         | Lakeside        |          1892643 | 3860.8199999999997 | 213.98999999999998 | 15599.779999999999
             |              | Bunker Hill     | Kingston        |          1901056 | 26490.229999999996 | 428.91999999999996 | 48586.810000000005
             | Stephanie    | Millbrook       | Hillcrest       |          1903052 | 25430.449999999997 |            1511.15 |           41452.16
             |              | Bath            | Kingston        |          1962329 |           12707.61 |  639.4200000000001 | 25559.030000000002
             |              | Brownsville     | Shady Grove     |          1979039 |           18670.32 |             920.62 | 40961.369999999995
             | James        | Florence        | Oak Hill        |          1988789 | 17934.670000000002 |  951.4300000000002 |  41964.09999999999
             | Francis      | Hopewell        | Five Forks      |          1991276 |           26801.32 | 1218.6800000000003 | 52493.479999999996
             | Andre        | Georgetown      | Newport         |          2010779 | 13118.460000000001 |             844.66 | 32368.769999999997
             |              | Mount Pleasant  | Norton          |          2026730 | 35123.270000000004 | 1407.6599999999999 |           72218.04
             |              | Oak Ridge       | Centerville     |          2030421 |           14583.65 |  732.1099999999999 |           19886.09
             | John         | Guilford        | Lake Forest     |          2037011 |           28581.37 | 1012.7399999999999 |           55809.74
             |              | Glendale        | Lebanon         |          2056798 |            16444.7 |            1117.63 |           50952.23
             | Julius       | Fairfield       | Hopewell        |          2059426 |            5762.91 |             234.86 |            19417.6
             |              | Wayland         | Marion          |          2065553 |  34666.62999999999 | 1225.3600000000001 |  62104.57000000001
             | Melissa      | Buena Vista     | Mount Pleasant  |          2085841 |            29635.1 |             830.24 | 59763.479999999996
(100 rows)

